SMILES,MTase IC50 (micromolar),Delta Tm - SAH/nsp14 (degrees Celsius),Cell EC50 (micromolar)
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.313,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCC2)c(C)n1C,11.6,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2ccc(Cl)cc2)n1C,1.62,,
Cc1c(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc(C(=O)N2CCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCOCC2)cc(C(=O)N2CCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)c(C)n(C)c1C(=O)NCCc1cccs1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)c(C)n(C)c1C(=O)NCc1cccs1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCc3ccccc32)n1C,50,,
COc1ccc(OC)c(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,50,,
Cn1cc(S(=O)(=O)N2CCCCCC2)cc1C(=O)NCc1ccccc1Cl,50,,
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.251,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2Cl)n1C,0.497,,
COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,0.253,2.2,
Cc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,0.668,,
COc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,0.612,4.3,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2)n1C,0.575,3.85,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1C,1.78,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCCC2)n1C,1.47,3.9,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCC(C)CC2)n1C,3.7,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1C,2.3,2.7,
CCOc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCCCC3)c(C)n2C)cc1,7.69,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2ccccc2)n1C,21.5,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2ccccc2)n1C,30.9,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCCc2ccccc2)n1C,37.7,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NC2CCC(C)CC2)n1C,38.1,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)cn1C,40.5,,
Cc1c(S(=O)(=O)N2CCCC2)cc(C(=O)NCc2ccccc2Cl)n1C,43.1,,
Cc1c(S(=O)(=O)N2CCOCC2)cc(C(=O)N2CCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2ccccc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCc3ccccc3C2)n1C,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCCC2)cn1C,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCC(C)C2)cn1C,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)cn1C,50,,
COc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c(OC)c1,50,,
COc1cccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,50,,
COc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2cccc(Cl)c2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2ccc(Cl)cc2)n1C,50,,
COc1cc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc(OC)c1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2cccc(F)c2)n1C,50,,
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c(C)c1,50,,
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2cccc3ccccc23)n1C,50,,
Cc1cccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCCCC2)n1C,50,,
Cc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccc(F)cc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)Nc2ccccc2)n1C,50,,
COc1ccc(OC)c(CNC(=O)c2cc(S(=O)(=O)N3CCCCC3)c(C)n2C)c1,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2ccc(N(C)C)cc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)N(C)Cc2ccccc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCCc2ccccc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCC(C)c2ccccc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCCc2ccc(Cl)cc2)n1C,50,,
COc1ccc(CCNC(=O)c2cc(S(=O)(=O)N3CCCCC3)c(C)n2C)cc1OC,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NC2CCN(Cc3ccccc3)CC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCCC2=CCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NC2CCCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NC2CCCCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCCCc2ccccc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NC2CC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCCC2)cc(C(=O)NCc2ccccc2)n1C,50,,
CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)cn1C,50,,
CNS(=O)(=O)c1cc(C(=O)NCc2ccccc2OC)n(C)c1,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCOCC2)c(C)n1C,10.9,,
COc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,2.05,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(C)CC2)c(C)n1C,27.7,,
COc1ccccc1C(C)NC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,1.41,1.5,
Cc1c(S(=O)(=O)N2CCCC2)cc(C(=O)NCCc2ccc(Cl)cc2)n1C,125,,
COc1ccccc1CNC(=O)c1ccc(S(=O)(=O)N2CCC(C)CC2)s1,125,,
COc1ccccc1CNC(=O)c1[nH]c(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c[nH]1,125,,
COc1ccccc1CNC(=O)c1ccc(S(=O)(=O)N2CCOCC2)o1,125,,
COc1cccc(CCNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,4.18,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCS(=O)(=O)CC2)c(C)n1C,20.2,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cnc3ccccn23)n1C,2.3,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCC(C)C2)c(C)n1C,1.33,2.8,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccnn2C)n1C,3.26,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.0141,7.95,
Cc1cccc(C)c1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.371,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)(O)CC2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)C2)c(C)n1C,0.686,4,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C(F)(F)F)CC2)c(C)n1C,0.278,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(OC)CC2)c(C)n1C,9.17,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)(C)CC2)c(C)n1C,125,,
CCC1CCN(S(=O)(=O)c2cc(C(=O)NCc3ccccc3OC)n(C)c2C)CC1,0.663,3.55,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(S(C)(=O)=O)CC2)c(C)n1C,125,,
Cc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,2.51,,
Cc1cccnc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,3.41,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cnn3ccccc23)n1C,0.309,,
COc1ccccc1CCNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,2.38,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2cnn(C)c2)n1C,5.58,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CC3CC3C2)c(C)n1C,2.87,,
COCC1CCN(S(=O)(=O)c2cc(C(=O)NCc3ccccc3OC)n(C)c2C)CC1,10.3,,
COc1ccccc1CN(C)C(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,125,,
Cc1ccncc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.702,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2C#N)n1C,0.216,,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.137,,
CCn1c(C(=O)NCc2ccccc2OC)cc(S(=O)(=O)N2CCC(C)CC2)c1C,0.0983,6.1,
CCn1c(C(=O)NCCc2ccc(Cl)cc2)cc(S(=O)(=O)N2CCC(C)CC2)c1C,0.677,,
CCn1c(C(=O)NCc2ccccc2C)cc(S(=O)(=O)N2CCC(C)CC2)c1C,0.262,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ncccc2F)n1C,0.747,,
CCOc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,0.0729,3.9,>100
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)(C#N)CC2)c(C)n1C,125,,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1CC,1.17,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(C)C(=O)C2)c(C)n1C,15.9,,
CCn1c(C(=O)NCc2ccccc2)cc(S(=O)(=O)N2CCCCC2)c1C,1.67,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CC3C(C2)C3(C)C)c(C)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc3ccnn23)n1C,1.2,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC3(CC2)CC3)c(C)n1C,125,,
COc1cnccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.935,,
COc1cccnc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.878,,
COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)n1,1.04,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(N(C)C)CC2)c(C)n1C,125,,
Cc1nccnc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,1.93,,
COc1ccccc1CNC(=O)c1c(C)c(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)c(C)n(C)c1C(=O)NCCc1ccc(Cl)cc1,125,,
COc1ccccc1CNC(=O)c1c(C)c(S(=O)(=O)N2CCC(C)CC2)cn1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cn(C)c1C(=O)NCCc1ccc(Cl)cc1,125,,
CCOc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.351,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2O)n1C,17.5,,
Cc1ncncc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.508,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N)n1C,1.29,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)NCc2ccccc2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCC(c3ccccc3)C2)c(C)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2OC(C)C)n1C,0.203,,
CCc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2C)n1C,1.78,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2Cl)n1C,0.0665,,
CCc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2OC)n1C,1.76,2,
COc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.0926,9.1,13.7
Cc1cnccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,1.41,,
COc1ccncc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.455,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N(C)CCc2ccccc2)c(C)n1C,125,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2OC(F)(F)F)n1C,0.117,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2)n1C,0.126,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCc3ccccc32)n1C,0.258,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N(C)Cc2ccccc2)c(C)n1C,1.62,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC2CCc3ccccc32)n1C,0.0931,7.6,6.6
Cc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.129,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2Cc3ccccc3C2)n1C,0.0477,2.25,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC2Cc3ccccc3C2)n1C,0.0523,9.5,
CCc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2ccc(Cl)cc2)n1C,1.21,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(c3ccccc3)CC2)c(C)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccn[nH]2)n1C,13.8,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2nccn2C)n1C,35.3,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2Cc3ccccc3C2)c(C)n1C,0.0244,7.2,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C(F)F)CC2)c(C)n1C,0.0862,3.5,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ncccc3C2)c(C)n1C,0.423,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3cnccc3C2)c(C)n1C,0.085,8.7,8.33
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3CC2)c(C)n1C,0.901,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(c3ccccc3)C2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3cnnc3C2)c(C)n1C,15.6,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NC2CCCC2)n1C,0.412,,
COc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C(F)(F)F)CC2)c(C)n1C,0.152,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2OC(F)F)n1C,0.0889,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ncncc3C2)c(C)n1C,1.41,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccc(C#N)cc3C2)c(C)n1C,0.0747,,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(CC)n1C,3.97,,
CCc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2ccccc2)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3cc(Cl)ccc3C2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3nccc3C2)c(C)n1C,0.0427,7.7,9.03
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccc2C#N)n1C,0.11,,
Cc1nn(C)cc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,1.13,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccnn2C)n1C,0.292,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2nccn2C)n1C,2.49,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccn[nH]2)n1C,1.3,,
Cc1nn(C)cc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,5.1,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2=O)c(C)n1C,1.5,,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.0387,9.2,6.39
Cc1ccncc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.119,9.2,8.9
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cnn3ccccc23)n1C,0.109,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2(C)CCCC2)n1C,125,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2cnn3ccccc23)n1C,3.45,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(C(C)=O)CC2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCOC(C)C2)c(C)n1C,2.88,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3nn(C)cc3C2)c(C)n1C,1.49,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2OC2CC2)n1C,0.257,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCOc3ccccc32)n1C,0.141,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCCc2cnn(C)c2)n1C,1.33,,
